subtaskpositionrevision,subtaskpositionrequestID,subtaskpositionwasLocallyCreated,subtaskpositionid,subtaskpositionlist_id,subtaskpositionvalues,subtaskpositiontask_id,subtaskpositionmatroshkaRevision,subtaskpositionuser_id,subtaskpositiontype,subtaskpositionisTemporary
0,E4BD1054-4A5F-422A-823E-560B5B7A556D,false,3683551658,0,"",3683551658,0,0,subtask_position,false
0,6CEE8B17-4497-4B37-A287-0EC8237AF4B7,false,3683216453,0,"",3683216453,0,0,subtask_position,false
0,B1BE0E90-53D5-4263-B572-14078ABC9780,false,3685850210,0,"",3685850210,0,0,subtask_position,false
0,8C37A5AF-A8B8-4C60-8BE3-869EA449637C,false,3683593419,0,"",3683593419,0,0,subtask_position,false
0,4E9B5FD2-10FB-4304-9B22-2DD2B846D2D6,false,3701777906,0,"",3701777906,0,0,subtask_position,false
0,3A11E0F3-29E3-4D06-A088-E62C881C389C,false,3685855032,0,"",3685855032,0,0,subtask_position,false
0,C3268343-A2E2-4429-8D5D-0B17ACE0B6EE,false,3701783552,0,"",3701783552,0,0,subtask_position,false
0,2A6C0E0B-C156-4296-9F43-11450251782E,false,3705610066,0,"",3705610066,0,0,subtask_position,false
0,1550D308-122D-4FF9-9BCC-2DC862174607,false,3704852536,0,"",3704852536,0,0,subtask_position,false
0,2F2E6B55-ACA1-48B4-8107-B2D647D578ED,false,3685857520,0,"",3685857520,0,0,subtask_position,false
0,749E3CAC-891C-4401-87AF-23356F8D04A9,false,3704859489,0,"",3704859489,0,0,subtask_position,false
0,DD806F9E-752E-4438-8E47-161A3A394756,false,3707522850,0,"",3707522850,0,0,subtask_position,false
0,B299D691-EE5E-4DD4-B4BA-50402C239DCE,false,3707583216,0,"",3707583216,0,0,subtask_position,false
0,95E29438-9E57-42B2-A2DA-3AF2A4D4B77A,false,3716721961,0,"",3716721961,0,0,subtask_position,false
0,04575B83-9D07-40DC-B923-3809C3EE5120,false,3712772252,0,"",3712772252,0,0,subtask_position,false
19,D41EA803-1CE2-46E6-A92B-C2AEDBC92EE2,false,3719100100,0,"1554177172,1554177197,1554177225,1554178116,1554178299,1554178395,1554178437,1554178829,1554178853,1554178884",3719100100,0,0,subtask_position,false
0,48A99F53-7F0E-4DF2-913D-BD113A2B765C,false,3722112458,0,"",3722112458,0,0,subtask_position,false
0,2D4D45BE-6B56-43EB-B847-F00368C37CD2,false,3722267208,0,"",3722267208,0,0,subtask_position,false
0,2D038BDF-60B0-4922-B7F1-D4C984CB63BE,false,3722219281,0,"",3722219281,0,0,subtask_position,false
0,B9071DAB-8DF5-4C24-B680-4CC12EC9B095,false,3723009649,0,"",3723009649,0,0,subtask_position,false
